key,en,pt_BR
REAGENTSMITH_DIALOG_1,"Oh hello hello adventurer, welcome to my forge!
I can see you carry all sorts of [shake]trinkets[/shake] in your bag... I can improve them, oh yes yes! ...if you spare me some [wave]precious pearls[/wave] in return, of course [shake][i]hehehe[/i][/shake]

I can even [wave]transfigure[/wave] them into better reagents, oh yes yes! But that will cost [shake]extra[/shake] [shake][i]hehehe[/i][/shake]","Oh olá olá aventureiro, bem vindo a minha forja!
Posso ver que você carrega todo tipo de [shake]muambas[/shake] nessa sua sacola... Eu posso melhorá-las, oh sim sim! ...isso se você puder compartilhar algumas dessas [wave]preciosas pérolas[/wave] em troca, é claro [shake][i]hehehe[/i][/shake]

Eu consigo até [wave]transfigurar[/wave] elas em reagentes melhores, oh sim sim! Mas isso saí um pouco mais [shake]caro[/shake] [shake][i]hehehe[/i][/shake]"
BACK,Back,Voltar
APPLY,Apply,Aplicar
COMPENDIUM,Compendium,Compêndio
FILTERS,Filters,Filtros
CLOSE,Close,Fechar
CLEAR_ALL,Clear all,Limpar
ATTACK,Attack,Ataque
DEFENSE,Defense,Defesa
AREA,Area,Area
BUFF,Buff,Fortalecer
DEBUFF,Debuff,Enfraquecer
HEAL,Heal,Cura
MISC,Misc,Diversos
END_TURN,End Turn,Terminar   Turno
RECIPES,Recipes,Receitas
COMBINE,Combine,Combinar
MISCOMBINATION,Miscombination,Má Combinação
DRAW_BAG,Draw Bag,Bolsa de Compra
DISCARD_BAG,Discard Bag,Bolsa de Descarte
MASTERY,Mastery,Masteria
MASTERED,Mastered,Masterizada
FAVORITE_RECIPE,Favorite Recipe,Favoritar Receita
RECIPE_LIST,Recipe List,Lista de Receitas
HAND,Hand,Mão
BAG,Bag,Bolsa
INCOMPLETE,Incomplete,Incompletas
COMPLETE,Complete,Completas
ALL,All,Todas
PEARLS,Pearls,Pérolas
GOLD,Gold,Ouro
RESOURCE,Resource,Recurso
RARE_RESOURCE,Rare Resource,Recurso Raro
NO_RECIPE_FOUND,No recipes found...,Nenhuma receita encontrada...
CURSED,CURSED,ALMALDIÇOADO
FLOOR_NAME_1,Forgotten Kingdom,Reino Esquecido
FLOOR_NAME_2,Caves of Sorrow,Cavernas do Sofrimento
FLOOR_NAME_3,Big Big Depths,Nome Grande Profundo
LOCATION,Location,Local
ENEMY,Enemy,Inimigo
ELITE,Elite,Inimigo Elite
BOSS,Guardian,Guardião
SHOP,Shop,Loja
RESTING_CIRCLE,Resting Circle,Círculo do Descanso
REAGENT_SMITH,Reagent Smith,Forjador de Reagentes
EVENT,Event,Evento
LABORATORY,Laboratory,Laboratório
TREASURE,Treasure,Tesouro
FAINT,Faint,Fraco
FAINT_REAGENT,Faint Reagent,Reagente Fraco
COMMON,Common,Comum
COMMON_REAGENT,Common Reagent,Reagente Comum
UNCOMMON,Uncommon,Incomum
UNCOMMON_REAGENT,Uncommon Reagent,Reagente Incomum
RARE,Rare,Raro
RARE_REAGENT,Rare Reagent,Reagente Raro
BEETLE,Beetle,Besouro
BEETLE_REAGENT,Bettle Reagent,Reagente Besouro
UNKNOWN,Unknown,Desconhecido
UNKNOWN_REAGENT,Unknown Reagent,Reagente Desconhecido
BOOST_RECIPES,Boost %s recipes by,Impulsiona receitas de %s por
UNSTABLE,Unstable,Instável
ON_FIRE,On fire,Pegando fogo
SUBSTITUTES,Substitutes,Substituições
SUBSTITUTION_TOOLTIP_SINGULAR,This reagent can serve as substitute for this reagent,Este reagente pode substituir este reagente
SUBSTITUTION_TOOLTIP_PLURAL,This reagent can serve as substitute for these reagents,Este reagente pode substituir estes reagentes
REGULAR_DAMAGE,regular damage,dano normal
PIERCING_DAMAGE,piercing damage,dano penetrante
CRUSHING_DAMAGE,crushing damage,dano esmagador
VENOM_DAMAGE,poison damage,dano venenoso
COMMON_ARTIFACT,Common Artifact,Artefato Comum
UNCOMMON_ARTIFACT,Uncommon Artifact,Artefato Incomum
RARE_ARTIFACT,Rare Artifact,Artefato Raro
EVENT_ARTIFACT,Event Artifact,Artefato de Evento
ST_ARCANE_AEGIS_TITLE,Arcane Aegis,Égide Arcana
ST_ARCANE_AEGIS_DESC,"Whenever this characters is attacked, if it wasn't shielded, gains shield","Sempre que este personagem for atacado, se ele não tinha escudo, irá ganhar escudo"
ST_ARCANE_AEGIS_INTENT,Casting Arcane Aegis,Formando Égide Arcana
ST_AVENGE_TITLE,Avenge,Vingar
ST_AVENGE_DESC,"When an ally dies, this character gains Permanent Strength","Quando algum aliado morre, este personagem ganha Força Permanente"
ST_AVENGE_INTENT,Avenging,Vingando
ST_BURNING_TITLE,Burning,Queimando
ST_BURNING_DESC,"At start of turn, will randomly burn player's reagents until end of turn","No começo do turno, queima reagentes aleatórios da mão até o fim do turno"
ST_BURNING_INTENT,Immolate,Imolando
ST_CONCENTRATION_TITLE,Concentration,Concentração
ST_CONCENTRATION_DESC,"If this character takes enough damage, it will lose focus and stop attacking","Se este personagem recebe dano suficiente, irá perder o foco e não vai mais atacar"
ST_CONCENTRATION_INTENT,Concentrating,Concentrando
ST_CONFUSION_TITLE,Confusion,Confusão
ST_CONFUSION_DESC,Transforms reagents randomly at the start of every turn,Transforma reagentes aleatórios no começo de cada turno
ST_CONFUSION_INTENT,Dazzling,Deslumbrando
ST_CURSE_TITLE,Curse,Maldição
ST_CURSE_DESC,Limits the number of recipes you can try to create each turn,Limite o número de receitas que você pode criar cada turno
ST_CURSE_INTENT,Cursing,Amaldiçoando
ST_DEEP_WOUND_TITLE,Deep Wound,Ferida Profunda
ST_DEEP_WOUND_DESC,This character can't heal,Este personagem não pode curar
ST_DEEP_WOUND_INTENT,Wounding,Ferindo
ST_DEVIATION_TITLE,Deviation,Divergência
ST_DEVIATION_DESC,This character can't repeat recipes on the same turn,Este personagem não pode repetir receitas no mesmo turno
ST_DEVIATION_INTENT,Deviating,Divergindo
ST_DIVINE_PROTECTION_TITLE,Divine Protection,Proteção Divina
ST_DIVINE_PROTECTION_DESC,"Every turn, this character becomes invincible after taking enough damage","Em cada turno, este personagem fica invencível depois de tomar dano suficiente"
ST_DIVINE_PROTECTION_INTENT,Favor from the Gods,Favor dos Deuses
ST_DODGE_TITLE,Dodge,Esquivar
ST_DODGE_DESC,This character will avoid the next attack. Last until end of turn,Este personagem irá evitar o próximo ataque. Dura até o fim do turno
ST_DODGE_INTENT,Dodging,Esquivando
ST_ENRAGE_TITLE,Enrage,Enfurecido
ST_ENRAGE_DESC,"Whenever this character takes damage, it gets Permanent Strength","Sempre que este personagem toma dano, recebe Força Permanente"
ST_ENRAGE_INTENT,Raging,Enfurecendo
ST_EVASION_TITLE,Evasion,Evasão
ST_EVASION_DESC,This character has 50% chance of avoiding the next attack. Last until it triggers or end of turn,Este personagem tem 50% de chance de evitar o próximo ataque. Dura até o fim do turno
ST_EVASION_INTENT,Evading,Evadindo
ST_FREEZE_TITLE,Freezing,Congelando
ST_FREEZE_DESC,"At start of turn, will freezes player's hand slots until end of turn","No começo do turno, congela espaços de mão do jogador até final do turno"
ST_FREEZE_INTENT,Freezing,Congelando
ST_HEX_TITLE,Hex,Feitiço
ST_HEX_DESC,This character gains permanent strength each time you misuse a reagent,Este personagem ganha força permanente sempre o jogador utiliza incorretamente algum reagente
ST_HEX_INTENT,Hexing,Enfeitiçando
ST_DOOM_TITLE,Impending Doom,Perdição Inevitável
ST_DOOM_DESC,"When this counter reaches 0, this character will receive 999 Permanent Strength","Quando este contador chegar em 0, este personagem irá receber 999 de Força Permanente"
ST_DOOM_INTENT,Dooming,Perdição
ST_MARTYR_TITLE,Martyr,Mártir
ST_MARTYR_DESC,"When this character dies, it applies Permanent Strength to each other ally","Quando este personagem morre, aplica Força Permanente a todos outros aliados"
ST_MARTYR_INTENT,Martyrdom,Martirio
ST_MINION_TITLE,Minion,Lacaio
ST_MINION_DESC,This enemy will disappear if his summoner dies,Este inimigo irá desaparecer se seu mestre morrer
ST_MINION_INTENT,Minion,Lacaio
ST_PERM_STRENGTH_TITLE,Permanent Strength,Força Permanente
ST_PERM_STRENGTH_DESC,Permanently increases this character attack damage,Permanentemente aumenta o dano de ataque deste personagem
ST_PERM_STRENGTH_INTENT,Powering up,Fortalecendo
ST_POISON_TITLE,Poison,Veneno
ST_POISON_DESC,This character is dealt poison damage at the end of its turn. Decreases every turn,Este personagem irá tomar dano venenoso no final de seu turno. Diminui a cada turno
ST_POISON_INTENT,Poisoning,Envenenando
ST_POISON_IMU_TITLE,Poison Immunity,Imunidade a Veneno
ST_POISON_IMU_DESC,This character can't receive Poison,Este personagem não pode receber Veneno
ST_POISON_IMU_INTENT,Immunizing,Imunizando
ST_RESTRAIN_TITLE,Restrained,Contido
ST_RESTRAIN_DESC,Locks grid slots randomly until end of turn. You can spend reagents to unlock them,Bloqueia espaços da grade aleatóriamente até o fim do turno. Você pode gastar reagentes para desbloquea-los
ST_RESTRAIN_INTENT,Restraining,Contendo
ST_MAJOR_RESTRICT_TITLE,Major Restriction,Restrição Maior
ST_MAJOR_RESTRICT_DESC,Blocks a number of grid slots until end of turn,Bloqueia espaços da grade até o fim do turno
ST_MAJOR_RESTRICT_INTENT,Chaining,Acorrentando
ST_MINOR_RESTRICT_TITLE,Minor Restriction,Restrição Menor
ST_MINOR_RESTRICT_DESC,Blocks a number of grid slots until end of turn,Bloqueia espaços da grade até o fim do turno
ST_MINOR_RESTRICT_INTENT,Binding,Prendendo
ST_RETALIATE_TITLE,Retaliate,Retaliação
ST_RETALIATE_DESC,This character returns regular damage each time it is attacked. Lasts until end of turn,Este personagem devolve dano normal cada vez que é atacado. Dura até o fim do turno
ST_RETALIATE_INTENT,Retaliating,Retaliando
ST_REVENGE_TITLE,Revenge,Vingança
ST_REVENGE_DESC,"When this character dies, it will deal regular damage to you","Quando este personagem morre, inflige dano normal a você"
ST_REVENGE_INTENT,Revengeance,Vingando
ST_SOULBIND_TITLE,Soulbind,Conexão de Alma
ST_SOULBIND_DESC,"When this character dies, any damage dealt that exceeded his life will return 4 times as regular damage","Quando este personagem morre, qualquer dano excedente em sua vida será devolvido 4 vezes mais como dano regular"
ST_SOULBIND_INTENT,Binding soul,Conectando alma
ST_SPLITTING_TITLE,Splitting,Dividindo
ST_SPLITTING_DESC,"When this character dies, it will divide into two","Quando este personagem morre, irá dividir em 2"
ST_SPLITTING_INTENT,Mitosis,Mitose
ST_TEMP_STRENGTH_TITLE,Temporary Buff,Poder Temporário
ST_TEMP_STRENGTH_DESC,Increases the damage of this character next attack,Aumenta o dano deste personagem em seu próximo ataque
ST_TEMP_STRENGTH_INTENT,Focusing strength,Focando forças
ST_TIME_BOMB_TITLE,Time Bomb,Bomba Relógio
ST_TIME_BOMB_DESC,Player will draw unstable reagents,Jogador irá comprar reagentes instáveis
ST_TIME_BOMB_INTENT,Planting bomb,Colocando bomba
ST_TOUGH_TITLE,Tough Skin,Pele Resistente
ST_TOUGH_DESC,Shield isn't removed at the end of turn,Escudo não é removido no final do turno
ST_TOUGH_INTENT,Toughing Up,Resistindo
ST_WEAK_TITLE,Weakness,Fraqueza
ST_WEAK_DESC,This character deals 1/3 less attack damage. Decreases every turn,Este personagem inflige 1/3 a menos em seus ataques. Diminui em cada turno
ST_WEAK_INTENT,Weakening,Enfraquecendo
RGNT_FAIN_ELEM_NAME,Faint Elementium,Elementium Fraco
RGNT_COM_ELEM_NAME,Common Elementium,Elementium Comum
RGNT_UNC_ELEM_NAME,Uncommon Elementium,Elementium Incomum
RGNT_RARE_ELEM_NAME,Rare Elementium,Elementium Raro
RGNT_ELEM_TOOLTIP,"If used in a miscombination, deals %s regular damage to a random enemy","Se usado em uma má combinação, inflige %s de dano normal a um inimigo aleatório"
RGNT_FAIN_DAMAGE_NAME,Black Salt,Sal Negro
RGNT_COM_DAMAGE_NAME,Black Powder,Pólvora Negro
RGNT_UNC_DAMAGE_NAME,Black Quartz,Quartzo Negro
RGNT_DAMAGE_TOOLTIP,"If used in a miscombination, deals %s regular damage to all enemies","Se usado em uma má combinação, inflige %s de dano normal a todos inimigos"
RGNT_FAIN_DEFENSE_NAME,Scale Shard,Fragmento de Escama
RGNT_COM_DEFENSE_NAME,Shell Shard,Fragmento de Casco
RGNT_UNC_DEFENSE_NAME,Rune Shard,Fragmento de Runa
RGNT_DEFENSE_TOOLTIP,"If used in a miscombination, gives %s shield to user","Se usado em uma má combinação, aplica %s de escudo ao usuário"
RGNT_HEALING_NAME,Invigorating Root,Raíz Revigorante
RGNT_HEALING_TOOLTIP,"If used in a miscombination, heals the user %d HP","Se usado em uma má combinação, cura o usuário em %d PV"
RGNT_POISON_NAME,Noxious Essence,Essência Nociva
RGNT_POISON_TOOLTIP,"If used in a miscombination, applies %s poison to a random enemy","Se usado em uma má combinação, aplica %s de veneno a um inimigo aleatório"
RGNT_BUFF_NAME,Horn Fragment,Lasca de Chifre
RGNT_BUFF_TOOLTIP,"If used in a miscombination, applies %s temporary strength to user","Se usado em uma má combinação, aplica %s de força temporária ao usuário"
RGNT_DEBUFF_NAME,Cracked Skull,Crânio Rachado
RGNT_DEBUFF_TOOLTIP,"If used in a miscombination, applies %s weakness to a random enemy","Se usado em uma má combinação, aplica %s de fraqueza a um inimigo aleatório"
RGNT_TRASH_NAME,Putrid Beetle,Besouro Pútrido
RGNT_TRASH_TOOLTIP,"If used in a miscombination, deals %s regular damage to the user","Se usado em uma má combinação, inflige %s de dano normal ao usuário"
RGNT_TRASH_PLUS_NAME,Preserved Beetle,Besouro Preservado
RGNT_TRASH_PLUS_TOOLTIP,"If used in a miscombination, deals %s regular damage to the user. Can't be destroyed in recipes.","Se usado em uma má combinação, inflige %s dano normal ao usuário. Não pode ser destruído em receitas."
TUT_MAP_1,"Welcome to your adventure, alchemist!","Bem vindo à sua aventura, alquemista!"
TUT_MAP_2,"You must explore the land facing monsters,\nlearning alchemical recipes and crafting them along the way","Você precisará explorar o reino enfrentando monstros,\naprendendo e construindo receitas alquemicas durante sua jornada"
TUT_MAP_3,Find and defeat the land's Guardian to progress,Encontre e derrote o Guardião de cada local para progredir
TUT_MAP_4,"Exploring and discovering things on your own is part of your journey,\nso don't be afraid to be curious!","Explorar e descobrir as coisas por conta própria faz parte de sua jornada, portanto não tenha medo de ser curioso!"
TUT_FB_1,You have found an enemy encounter!,Você achou um encontro de inimigo!
TUT_FB_2,Your objective is to eliminate all enemies\nand not get killed in the process,Seu objetivo nestes encontros é\neliminar todos inimigos\ne não morrer no processo
TUT_FB_3,Each turn you'll draw reagents from your bag until you have filled your hand entirely,Em cada turno você irá comprar reagentes da sua bolsa até que\nvocê tenha enchido completamente sua mão
TUT_FB_4,You'll drag reagents from your hand to your alchemical grid to craft recipes,"Você irá arrastar reagentes da sua mão para sua grade alquemica, para poder construir receitas"
TUT_FB_5,You can find your list of recipes clicking here.\nTry it now!,Você pode ver sua lista de receitas clicando aqui.\nTente agora!
TUT_RB_1,Here you'll find all recipes you've learned or found clues to,Aqui você encontra todas receitas das quais já aprendeu ou possui dicas de como fazer
TUT_RB_2,"Use these tags to limit recipes you can view,\nsuch as recipes you can make using reagents in your current hand,\nor using everything inside your bag","Use estes marcadores para limitar receitas visíveis,\ncomo por exemplo receitas que podem ser feitas com reagentes da sua mão,\nou considerando todos reagentes da sua bolsa"
TUT_RB_3,The filters will help you find specific recipes when you have discovered lots of them,Os filtros vão te ajudar a achar receitas específicas quando você tiver muitas descobertas
TUT_RB_4,Using a recipe will fill its Mastery gauge.\nUse a recipe enough times and you'll unlock a better version of it!,"Sempre que você fizer uma receita, você irá avançar seu progresso de Masteria.\nUse uma receita bastante vezes para desbloquear uma versão mais poderosa dela!"
TUT_RB_5,"Finally, when you've found a recipe you want to try,\nclick on it.\nTry it now!","Finalmente, quando você tiver encontrado uma receita que quiser usar, clique nela.\nTeste agora!"
TUT_CR_1,You can now see a preview of the recipe you've chosen.\nIt will help you craft it more easily,Você agora pode ver um rascunho da receita escolhida.\nIsto ajudará na criação da receita
TUT_CR_2,"Also, clicking on a mastered recipe will craft it for you automatically!","Além disso, clicar em uma receita masterizada irá montar a receita para você automaticamente!"
TUT_CR_3,"Drag reagents from your hand to the appropriate places. \nIMPORTANT!\nSome reagents can substitute others,\nhover your mouse on your reagents to find out more about this.","Arraste reagentes da sua mão para as\nposições correspondentes.\nIMPORTANTE!\nAlguns reagentes podem substituir outros,\npasse o mouse em cima dos seus reagentes\npara saber mais sobre isso."
TUT_CR_4,"When you've placed everything, click the Combine button or press SPACE!","Quando você tiver colocado todos reagentes, aperte o botão de Combinar ou pressione Espaço."
TUT_CR_5,"When you have nothing else to do,\nor want to hold on to some reagents,\nyou can pass the turn by clicking here.\nYou can also pass your turn by pressing E.","Quando você não tiver nada mais para fazer,\nou quiser segurar alguns reagentes\npara usar futuramente,\nvocê pode passar o turno clicando aqui.\nVocê também pode passar o turno apertando E."
TUT_CR_6,"Finally, some very important shortcuts!","E finalmente, alguns atalhos muito importantes!"
TUT_CR_7,Right clicking a reagent is extremely useful to move them around faster,Clicar com o botão direito do mouse sobre algum reagente é extremamente útil para mover eles rapidamente para todos lugares.
TUT_CR_8,"Also, you can open your recipe book with TAB.\nYou can do it outside of battle too!",Você também pode abrir seu livro de receitas com TAB.\nIsso também funciona fora da batalha!
TUT_CR_9,"Lastly, you can hover your mouse on almost anything to learn more about it","E por último, você pode passar o mouse sobre quase qualquer coisa para saber mais sobre ela."
TUT_CR_10,Good luck adventurer!,Boa sorte aventureiro!
DESC_DAMAGE_SINGLE,Deals %d %s to target enemy.,Inflige %d de %s ao inimigo alvo.
DESC_DAMAGE_MULT,Deals %d %s %d times.,Inflige %d de %s %d vezes.
DESC_DAMAGE_ALL,Deals %d %s to all enemies.,Inflige %d de %s a todos inimigos.
DESC_HEAL,Heals %d HP.,Cura %d PV.
DESC_REDUCE_STATUS_SELF,Removes up to %d %s from yourself.,Remove até %d de %s de sí mesmo.
DESC_DRAW,Draw %d reagents.,Compre %d reagentes.
DESC_SHIELD,Gain %d shield until end of turn.,Ganhe %d de escudo até o fim do turno.
DESC_DRAIN,Drain %d life from target enemy.,Drena %d de vida do inimigo alvo.
DESC_STATUS_ENEMY,Applies %d %s to target enemy.,Aplica %d de %s ao inimigo alvo.
DESC_STATUS_SELF,Gain %d %s.,Receba %d de %s.
DESC_STATUS_ALL,Applies %d %s to all enemies.,Aplica %d de %s a todos inimigos.
DESC_SHORT_DAMAGE_SINGLE,Deals %d %s.,Inflige %d de %s.
DESC_SHORT_DAMAGE_MULT,Deals %d %s %d times.,Inflige %d de %s %d vezes.
DESC_SHORT_DAMAGE_ALL,Deals %d %s to all enemies.,Inflige %d de %s a todos inimigos.
DESC_SHORT_HEAL,Heals %d HP.,Cura %d PV.
DESC_SHORT_REDUCE_STATUS_SELF,Removes up to %d %s from self.,Remove até %d de %s de sí mesmo.
DESC_SHORT_DRAW,Draw %d reagents.,Compre %d reagentes.
DESC_SHORT_SHIELD,Gain %d shield.,Ganhe %d de escudo.
DESC_SHORT_DRAIN,Drain %d life.,Drena %d de vida.
DESC_SHORT_STATUS_ENEMY,Applies %d %s.,Aplica %d de %s.
DESC_SHORT_STATUS_SELF,Gain %d %s.,Receba %d de %s.
DESC_SHORT_STATUS_ALL,Applies %d %s to all enemies.,Aplica %d de %s a todos inimigos.
DESC_DESTROY_REAGENTS_ALL,Destroys all the %s in the process.,Destroi todas/todos %s no processo.
DESC_DESTROY_REAGENTS_SOME,Destroys %d %s in the process.,Destroi %d %s no processo.
DESC_DESTROY_REAGENTS_ONLY,Destroys the %s in the process.,Destroi %s no processo.
DESC_DESTROY_REAGENTS_ONE,Destroys one %s in the process.,Destroi 1 %s no processo.
RE_ATAQUE_AREA_PLUS,Acid Cloud,Nuvem Ácida
RE_ATAQUE_AREA,Acid Gas,Gás Ácido
RE_ATAQUE_MULTIPLO_PLUS,Cluster Bomb,Bomba Esmigalhadora
RE_ATAQUE_MULTIPLO_PLUSPLUS,Blockbuster Bomb,Bomba Desintegradora
RE_ATAQUE_MULTIPLO,Frag Bomb,Bomba de Fragmentação
RE_CURA_PLUS,Healing Elixir,Elixir de Cura
RE_CURA_PLUSPLUS,Elixir of Life,Elixir da Vida
RE_CURA,Healing Salve,Pomada Curativa
RE_CURA_POISON_PLUS,Strong Antivenom,Antiveneno Poderoso
RE_CURA_POISON,Antivenom,Antiveneno
CYCLE,Elemental Transmutation,Transmutação Elemental
RE_DANO_ESCUDO_OMEGA,Hero's Mixture,Mistura Heróica
RE_DANO_ESCUDOPLUS,Explorer's Mixture,Mistura do Explorador
RE_DANO_ESCUDOPLUSPLUS,Adventurer's Mixture,Mistura do Aventureiro
RE_DANO_ESCUDO,Traveler's Mixture,Mistura do Andarilho
RE_DANO_LIXO,Beetle Bomb,Bomba Besouro
RE_DANO_OMEGA,Supernova,Supernova
RE_DANO_OMEGAPLUS,Hypernova,Hipernova
RE_DANO_PEN_PLUS,Alchemist's Conflagration,Conflagração Alquímica
RE_DANO_PEN_PLUSPLUS,Alchemist's Inferno,Inferno Alquímico
RE_DANO_PEN,Alchemist's Fire,Fogo Alquímico
RE_DANO_PLUS,Thunderstone,Pedra do Trovão
RE_DANO_PLUSPLUS,Bottled Lightning,Relâmpago Engarrafado
RE_DANO,Small Bomb,Bomba Pequena
RE_DRAIN_PLUS,Vampiric Substance,Substância Vampírica
RE_DRAIN_PLUSPLUS,Vampiric Quintessence,Quintessência Vampírica
RE_DRAIN,Vampiric Essence,Essência Vampírica
RE_DRAW_PLUS,Mindstorm Draught,Torrente Mental
RE_DRAW_PLUSPLUS,Psychstorm Draught,Torrente Psíquica
RE_DRAW,Brainstorm Draught,Torrente Cerebral
RE_SHIELD_LIXO,Exoskeleton Potion,Poção de Exoesqueleto
﻿RE_SHIELD_PLUS,Stoneskin Potion,Poção de Pele de Pedra
RE_SHIELD_PLUSPLUS,Mountainskin Potion,Poção de Pele Montanhosa
RE_SHIELD,Rockskin Potion,Poção de Pele Rochosa
RE_HEAL_LIXO,Bug Compound,Composto de Inseto
RE_POISON_AREA,Toxic Gas,Gás Tóxico
RE_POISON_PLUS,Noxious Vial,Frasco Nocivo
RE_POISON_PLUSPLUS,Plague Vial,Frasco Pandêmico
RE_POISON,Poison Vial,Frasco de Veneno
RE_RETALIATE,Thornskin Tonic,Tônico Espinhoso
RE_SMOKESCREEN_PLUS,Greater Smokescreen Tonic,Tônico Nebuloso
RE_SMOKESCREEN,Lesser Smokescreen Tonic,Tônico Esfumaçado
RE_TEMP_STRENGTH_PLUS,Greater Strength Tonic,Tônico de Super Fortalecimento
RE_TEMP_STRENGTH,Lesser Strength Tonic,Tônico de Fortalecimento
RE_WEAK_AREA,Feebleness Gas,Gás Enfraquecedor
RE_WEAK,Feebleness Oil,Óleo Enfraquecedor
ART_POISON_KIT_NAME,Slimy Satchel,Mochila Gosmenta
ART_POISON_KIT_DESC,"When acquired, add 3 Noxious Essence reagents to your bag","Quando adquirida, adicione 3 Essência Nociva à sua bolsa"
ART_BUFF_POISON_NAME,Poisoner's Thesis,Tese de Envenenador
ART_BUFF_POISON_DESC,"Whenever you apply Poison, apply 1 extra Poison","Sempre que você aplicar Veneno, aplica 1 Veneno extra"
ART_STRENGTH_NAME,Powerstone,Pedra do Poder
ART_STRENGTH_DESC,Start each battle with 3 Permanent Strength,Comece cada batalha com 3 de Força Permanente
ART_MAX_HP_NAME,Chalice of Life,Cálice da Vida
ART_MAX_HP_DESC,"When acquired, your total life is increased by 20","Quando adquirido, sua vida total aumenta em 20"
ART_TEMP_STRENGTH_NAME,Morhk Nosering,Piercing de Morhk
ART_TEMP_STRENGTH_DESC,Start each battle with 6 Temporary Buff,Comece cada batalha com 3 de Poder Temporário
ART_GREAT_REST_NAME,Warm Blanket,Cobertor Quentinho
ART_GREAT_REST_DESC,"When resting, you heal 70% of you max health","Quando for descansar, recupere 70% de sua vida máxima"
ART_MONEY_BAG_NAME,Coin Pouch,Bolsa de Moedas
ART_MONEY_BAG_DESC,"When acquired, gain 40 gold","Quando adquirido, ganhe 40 de ouro"
ART_BLUE_OYSTER_NAME,Blue Oyster,Ostra Azul
ART_BLUE_OYSTER_DESC,"Whenever you defeat an elite or guardian encounter, gain 1 extra pearl","Sempre que você vencer algum encontro de inimigo elite ou guardião, ganhe uma pérola extra"
ART_MENDER_BELT_NAME,Mender's Belt,Cinto de Mender
ART_MENDER_BELT_DESC,"Whenever you finish a battle, heal 8","Sempre que você terminar uma batalha, cure 8"
ART_CARAPA_BUCKLER_NAME,Carapa Buckler,Broquel de Carapa
